kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_num_transits,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag,ra,dec
10797460,K00752.01,CONFIRMED,9.48803557,2.9575,615.8,142.0,35.8,2.26,793.0,93.59,5455.0,4.467,0.927,0.919,15.347,291.93423,48.141651
10797460,K00752.02,CONFIRMED,54.4183827,4.507,874.8,25.0,25.8,2.83,443.0,9.11,5455.0,4.467,0.927,0.919,15.347,291.93423,48.141651
10811496,K00753.01,CANDIDATE,19.89913995,1.7822,10829.0,56.0,76.3,14.6,638.0,39.3,5853.0,4.544,0.868,0.961,15.436,297.00482,48.134129
10848459,K00754.01,FALSE POSITIVE,1.736952453,2.40641,8079.2,621.0,505.6,33.46,1395.0,891.96,5805.0,4.564,0.791,0.836,15.597,285.53461,48.28521
10854555,K00755.01,CONFIRMED,2.525591777,1.6545,603.3,515.0,40.9,2.75,1406.0,926.16,6031.0,4.438,1.046,1.095,15.509,288.75488,48.2262
10872983,K00756.01,CONFIRMED,11.09432054,4.5945,1517.5,95.0,66.5,3.9,835.0,114.81,6046.0,4.486,0.972,1.053,15.714,296.28613,48.22467
10872983,K00756.02,CONFIRMED,4.13443512,3.1402,686.0,240.0,40.2,2.77,1160.0,427.65,6046.0,4.486,0.972,1.053,15.714,296.28613,48.22467
10872983,K00756.03,CONFIRMED,2.56658897,2.429,226.5,355.0,15.0,1.59,1360.0,807.74,6046.0,4.486,0.972,1.053,15.714,296.28613,48.22467
6721123,K00114.01,FALSE POSITIVE,7.36178958,5.022,233.7,185.0,47.7,39.21,1342.0,767.22,6227.0,3.986,1.958,1.358,12.66,298.86435,42.151569
10910878,K00757.01,CONFIRMED,16.06864674,3.5347,4914.3,69.0,161.9,5.76,600.0,30.75,5031.0,4.485,0.848,0.801,15.841,286.99948,48.37579
11446443,K00001.01,CONFIRMED,2.470613377,1.74319,14230.9,432.0,4304.3,13.04,1339.0,761.46,5820.0,4.457,0.964,0.971,11.338,286.80847,49.316399
10666592,K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,611.0,5945.9,16.1,2048.0,4148.92,6440.0,4.019,1.952,1.449,10.463,292.24728,47.969521
6922244,K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,384.0,1741.5,14.59,1521.0,1264.67,6225.0,4.169,1.451,1.132,13.563,281.28812,42.45108
10984090,K00112.02,CONFIRMED,3.709214104,2.6302,131.1,352.0,50.6,1.16,1206.0,500.46,5833.0,4.407,1.022,0.974,12.772,295.64871,48.49556
10419211,K00742.01,FALSE POSITIVE,11.521446064,3.6399,17984.3,96.0,622.1,150.51,753.0,75.88,5795.0,4.554,0.848,0.938,15.472,297.07993,47.597401
10464078,K00743.01,FALSE POSITIVE,19.40393776,12.2155,8918.7,71.0,214.7,7.18,523.0,17.69,5043.0,4.591,0.68,0.657,15.487,289.25821,47.635319
10480982,K00744.01,FALSE POSITIVE,19.221388942,4.79843,74284.0,55.0,2317.0,49.29,698.0,55.97,6117.0,4.496,0.947,1.025,15.341,295.81454,47.69035
10485250,K00745.01,FALSE POSITIVE,16.46983774,9.4378,10478.9,66.0,303.4,7.94,595.0,29.61,5152.0,4.517,0.786,0.741,15.788,297.15442,47.668701
10526549,K00746.01,CONFIRMED,9.27358173,3.2875,1288.3,144.0,87.2,2.47,649.0,41.85,4856.0,4.583,0.696,0.676,15.302,288.13824,47.724449
10583066,K00747.01,CONFIRMED,6.02930329,1.5821,1912.7,215.0,65.4,2.85,678.0,50.04,4537.0,4.648,0.672,0.761,15.784,283.71088,47.86327
10583180,K00748.01,FALSE POSITIVE,2.696370652,3.6129,397.9,501.0,48.2,1.58,1066.0,305.34,4989.0,4.504,0.819,0.781,15.269,283.76547,47.804298
10601284,K00749.01,CONFIRMED,5.349553819,3.0278,831.0,247.0,60.6,2.55,919.0,168.99,5185.0,4.44,0.91,0.831,15.416,292.37613,47.880989
10601284,K00749.02,CONFIRMED,3.94105221,2.5984,363.3,322.0,28.9,1.7,1018.0,253.15,5185.0,4.44,0.91,0.831,15.416,292.37613,47.880989
10601284,K00749.03,CONFIRMED,8.10904807,3.596,217.4,141.0,14.1,1.3,800.0,97.03,5185.0,4.44,0.91,0.831,15.416,292.37613,47.880989
2306756,K00113.01,FALSE POSITIVE,386.6030528,6.8057,24926.6,,994.0,41.5,297.0,1.84,5543.0,4.081,1.58,1.103,12.394,292.27374,37.671558
10662202,K00750.01,CONFIRMED,21.67699193,3.4555,857.2,62.0,34.3,2.95,530.0,18.64,4954.0,4.5,0.828,0.791,15.377,290.46512,47.92918
