latent_feature_1,latent_feature_2,latent_feature_3,latent_feature_4,target
0.3643133,0.96446735,1.2770375,0.0,2
1.3486114,1.2860717,1.7288109,0.0,2
0.0,1.2696625,0.90110475,0.0,0
0.70541334,1.1010371,1.3289412,0.0,0
2.0804992,2.5158746,3.1546738,0.0,2
3.9695005,0.25210416,5.6758227,5.4834895,2
0.9923803,1.853466,2.0624158,0.0,2
0.43079937,1.3977988,1.7080092,0.0,0
0.026325762,1.3491287,1.5127373,0.0,1
0.4832876,1.6225655,1.7129859,0.0,2
0.58423966,1.2299974,1.3864274,0.0,0
0.75240153,1.1565199,1.2104138,0.0,1
1.2482455,1.118125,1.1290447,0.0,0
0.5217689,0.69681156,0.9957202,0.044445425,1
0.4377395,1.3007214,0.445337,1.0406977,0
2.2516518,2.8041084,3.0610049,0.0,1
0.95246834,1.5504184,1.8879799,0.0,1
0.88675725,1.8991501,1.9006393,0.0,2
0.6377997,0.8555668,1.1067271,0.0,2
0.71110743,1.3785503,1.3920385,0.0,1
0.51416945,0.6135749,0.5906906,0.5637425,2
0.4133594,0.7092669,0.8839381,0.40986267,2
0.8117976,0.88049865,1.3514537,0.0,1
0.41951698,1.1101725,1.3519391,0.0,1
0.9232749,1.0558152,1.3048201,0.0,0
0.5852455,1.0257795,0.90643996,0.0,0
0.5158373,1.120368,1.476761,0.0,2
0.71513855,0.42934415,1.246643,0.16961363,0
2.5830083,3.1284244,3.7638235,2.69789,2
0.6061041,1.0650277,1.0798254,0.0,1
0.28271383,1.4619353,0.61677533,1.2620531,0
1.5759296,2.2634246,2.3797565,0.0,1
0.7958696,1.1859051,0.8925125,0.0,1
0.7183199,0.22557718,1.1988175,0.34230602,1
0.57670355,1.3524992,1.3240335,0.0,1
0.3328765,1.3499541,0.31491244,0.542266,0
0.31064552,0.8910785,1.2205031,0.0561316,0
0.7422267,0.40338778,0.7880191,0.18916233,1
0.7977581,0.5704118,0.5082218,0.043414205,1
0.44010705,0.60406905,0.64023995,0.46906412,1
2.2919798,2.094462,2.8123538,0.0,2
0.29906476,1.3061466,1.6264093,0.0,1
0.4748314,1.3000461,0.49028412,1.2388401,2
0.53002834,1.2879345,1.2984447,0.0,1
1.9966438,2.170649,2.8186977,0.0,2
0.7340301,0.6135534,0.87754816,0.010877013,0
1.0487422,0.81316197,1.9756054,0.0,1
0.6704627,1.6726232,1.7994877,0.0,1
0.75937885,1.0435567,0.95805794,0.0,1
1.1572576,1.4862056,1.8288903,0.0,2
0.37052017,1.222934,1.3856257,0.30630141,2
0.5680878,0.8776121,1.1153469,0.0,2
0.0,1.1851,0.80422765,0.017863944,2
0.6620177,1.2500999,1.3059254,0.0,1
